dependencia_origen,clave,nombre_oficial,descripcion,tramite_o_servicio,tipos_atencion_ids
SEC SALUD,SS-DCDM-014,Nutrición (Consulta nutricional),Es el servicio de atención profesional que tiene como finalidad evaluar el estado nutricional de las personas y brindar orientación alimentaria personalizada para mejorar su salud y calidad de vida.,TRUE,0
SEC SALUD,SS-DCDM-015,Fisioterapia,"Conjunto de técnicas, mediante el uso de medios físicos como la luz, el calor, el frío, el ejercicio físico, el masaje y la electricidad pueden curar, recuperar y adaptar a las personas afectadas por alguna disfunción",TRUE,0
SEC SALUD,SS-DCDM-016,Resina,"Es el procedimiento odontológico mediante el cual se restaura una pieza dental dañada por caries, fracturas o desgaste, utilizando resina compuesta, un material estético que se adapta al color natural del diente.",TRUE,0
SEC SALUD,SS-DCDM-017,Consulta General,"Es el servicio de atención médica integral de primer contacto, orientado a la prevención, diagnóstico, tratamiento y seguimiento de padecimientos comunes en la población.",TRUE,0
SEC SALUD,SS-DCDM-018,Aplicación de inyecciones,"Administración de medicamentos por vía intramuscular, intravenosa o subcutánea, con el objetivo de proporcionar tratamiento de forma rápida y eficaz según la indicación médica.",TRUE,0
SEC SALUD,SS-DCDM-019,Biopsia,"Procedimiento médico mediante el cual se obtiene una muestra de tejido, células o líquido del organismo para su análisis en laboratorio, con el objetivo de diagnosticar enfermedades, determinar la naturaleza de una lesión o confirmar la presencia de procesos patológicos.",TRUE,0
SEC SALUD,SS-DCDM-020,Ultrasonido Combinado,"Es el estudio de diagnóstico por imagen que utiliza ondas sonoras de alta frecuencia para obtener imágenes internas del cuerpo, combinando diferentes técnicas o enfoques de ultrasonido con el propósito de lograr una evaluación más completa y precisa de órganos o estructuras específicas.",TRUE,0
SEC SALUD,SS-DCDM-021,Ultrasonido Simple,"Es el estudio de diagnóstico por imagen que utiliza ondas sonoras de alta frecuencia para obtener imágenes de órganos y estructuras internas del cuerpo, con el propósito de evaluar su estado y apoyar en el diagnóstico médico.",TRUE,0
SEC SALUD,SS-DCDM-022,Retiro de Implante Subdermico,"Es el procedimiento médico mediante el cual se extrae un implante anticonceptivo colocado previamente bajo la piel, generalmente en la región del brazo, una vez concluido su periodo de efectividad o por decisión de la paciente.",TRUE,0
SEC SALUD,SS-DCDM-023,Aplicación de Implante Subdérmico,"Procedimiento médico mediante el cual se coloca un implante anticonceptivo debajo de la piel, generalmente en la parte interna del brazo, con el objetivo de prevenir el embarazo de manera segura, eficaz y de larga duración.",TRUE,0
